,timestamp,mcap,symbol
58,1614470400000,708931902.6586891,husd
59,1614556800000,724984133.5152317,husd
60,1614643200000,890832993.886182,husd
61,1614729600000,863473425.0362476,husd
62,1614816000000,811089848.2466638,husd
63,1614902400000,746316814.1651689,husd
64,1614988800000,724894594.6022835,husd
65,1615075200000,681815803.269705,husd
66,1615161600000,652181792.5822146,husd
67,1615248000000,602033351.4371881,husd
68,1615334400000,571856324.8356398,husd
69,1615420800000,562603320.4711766,husd
70,1615507200000,533146480.5801295,husd
71,1615593600000,534622286.7583861,husd
72,1615680000000,529572848.1507714,husd
73,1615766400000,545719888.1121848,husd
74,1615852800000,571693518.7310435,husd
75,1615939200000,572546383.1967356,husd
76,1616025600000,569167979.5214086,husd
77,1616112000000,545357999.7491506,husd
78,1616198400000,566287592.9991653,husd
79,1616284800000,611211716.6424844,husd
80,1616371200000,629785030.3993691,husd
81,1616457600000,581750269.6816871,husd
82,1616544000000,593506451.1987287,husd
83,1616630400000,591107971.1537064,husd
84,1616716800000,593297055.3521433,husd
85,1616803200000,658068370.3982396,husd
86,1616889600000,722090726.9727727,husd
87,1616976000000,742542166.2078499,husd
88,1617062400000,746469653.531169,husd
89,1617148800000,755587912.8705293,husd
90,1617235200000,791253939.6347944,husd
91,1617321600000,816287110.7214147,husd
92,1617408000000,798156913.5845994,husd
93,1617494400000,793919376.9729849,husd
94,1617580800000,785259731.594939,husd
95,1617667200000,772380278.7210308,husd
96,1617753600000,769205050.6534287,husd
97,1617840000000,751782603.5571532,husd
98,1617926400000,709358532.3643664,husd
99,1618012800000,724772323.1416343,husd
100,1618099200000,726159168.5542015,husd
101,1618185600000,727233320.6556646,husd
102,1618272000000,718832424.4900591,husd
103,1618358400000,745703391.2315911,husd
104,1618444800000,734841831.8270024,husd
105,1618531200000,732995114.4132401,husd
106,1618617600000,834052500.1797125,husd
107,1618704000000,866465323.0343575,husd
108,1618790400000,886162445.8582667,husd
109,1618876800000,816265611.4798185,husd
110,1618963200000,904941236.807442,husd
111,1619049600000,845471468.0405964,husd
112,1619136000000,858356684.7566394,husd
113,1619222400000,844337748.3677586,husd
114,1619308800000,893624270.8937331,husd
115,1619395200000,895051934.676027,husd
116,1619481600000,924855782.8513815,husd
117,1619568000000,867083875.7718422,husd
118,1619654400000,831613752.8082356,husd
119,1619740800000,834605094.5708252,husd
120,1619827200000,811825512.5415928,husd
121,1619913600000,824425959.5547504,husd
122,1620000000000,824743227.4198889,husd
123,1620086400000,827990759.3006161,husd
124,1620172800000,825150235.4339687,husd
125,1620259200000,835994593.7298592,husd
126,1620345600000,824769490.7254435,husd
127,1620432000000,836520704.2797456,husd
128,1620518400000,807856754.7849417,husd
129,1620604800000,824202679.0144926,husd
130,1620691200000,838088426.0282639,husd
131,1620777600000,822545192.3239568,husd
132,1620864000000,799730833.3761716,husd
133,1620950400000,806425693.521854,husd
134,1621036800000,836909086.7620633,husd
135,1621123200000,855032422.065986,husd
136,1621209600000,875348173.843912,husd
137,1621296000000,858783831.0622443,husd
138,1621382400000,882057165.821659,husd
139,1621468800000,864682897.6622313,husd
140,1621555200000,999500362.4152235,husd
141,1621641600000,1042449277.9434601,husd
142,1621728000000,1000637992.6814044,husd
143,1621814400000,1050928555.159174,husd
144,1621900800000,1040654216.4915956,husd
145,1621987200000,954346106.7316333,husd
146,1622073600000,953985100.5246763,husd
147,1622160000000,967625322.631425,husd
148,1622246400000,900366288.4207598,husd
149,1622332800000,894259985.2233071,husd
150,1622419200000,889456783.1738762,husd
151,1622505600000,875834875.7055358,husd
152,1622592000000,836698796.1268257,husd
153,1622678400000,801168920.7415686,husd
154,1622764800000,789071870.8030503,husd
155,1622851200000,777347370.4055367,husd
156,1622937600000,778256478.6642162,husd
157,1623024000000,785935587.4734868,husd
158,1623110400000,775107807.8488901,husd
159,1623196800000,829552120.187894,husd
160,1623283200000,820268579.5158801,husd
161,1623369600000,814787624.5977786,husd
162,1623456000000,713173483.8704728,husd
163,1623542400000,735779082.2888744,husd
164,1623628800000,732670334.4594896,husd
165,1623715200000,725630406.1436666,husd
166,1623801600000,695988075.0307748,husd
167,1623888000000,681065912.7906787,husd
168,1623974400000,673547437.2937274,husd
169,1624060800000,661872659.5165596,husd
170,1624147200000,660888271.3641287,husd
171,1624233600000,662913717.0791032,husd
172,1624320000000,620293744.6475444,husd
173,1624406400000,617660440.8435984,husd
174,1624492800000,706217586.2416567,husd
175,1624579200000,718035073.6467543,husd
176,1624665600000,634326938.1829386,husd
177,1624752000000,632871018.661526,husd
178,1624838400000,700175101.7665259,husd
179,1624924800000,605718734.7263331,husd
180,1625011200000,558451310.1211201,husd
0,1609459200000,131809076.06917027,neutrino
1,1609545600000,126380885.26078795,neutrino
2,1609632000000,120880407.44205609,neutrino
3,1609718400000,119806447.47811203,neutrino
4,1609804800000,114769810.87966752,neutrino
5,1609891200000,113044397.29957728,neutrino
6,1609977600000,114928705.35756236,neutrino
7,1610064000000,113841913.64879008,neutrino
8,1610150400000,112246343.11482084,neutrino
9,1610236800000,110081273.49731925,neutrino
10,1610323200000,110233875.57217579,neutrino
11,1610409600000,109791643.98258594,neutrino
12,1610496000000,115619680.35157818,neutrino
13,1610582400000,115262378.177091,neutrino
14,1610668800000,114284269.05510531,neutrino
15,1610755200000,115355468.11814065,neutrino
